_id,name,description,common_complications
271,Acetaminophen (Tylenol) level,Acetaminophen is the generic name for Tylenol. A blood level is measured to determine if too much has been taken. This is important since there is an antidote. If left untreated acetaminophen poisoning can lead to liver toxicity and death. ,None
272,Activated partial thromboplastin (PTT),Partial thromboplastin time (PTT) is a blood test that measures the blood's ability to clot. A common medication called heparin increases the PTT and the doctor measures the value to know how much heparin should be given.,None
273,Air contrast enema (x-ray study of the colon),"A diagnostic procedure in which a barium-containing solution and air are put into the rectum and colon from the anus. Barium coats the lining of the rectum and large intestine. The air helps keep the colon distended as X-rays are taken. This procedure can help diagnose colorectal cancer, ulcerative colitis, Crohn's disease, and other diseases of the colon.",Damage to the rectum or colon can rarely occur.
274,Allergy testing,"Allergy testing is done to determine if a patient is allergic to a substance. There are three basic types of allergy testing: skin testing, elimination test, and a blood test. With a skin test a substance is put in contact with the skin and the reaction of the skin is measured. Elimination testing is performed by removing foods from the diet and observing symptoms. Blood testing is done to measure the presence of antibodies and eosinophils after the exposure to a potential allergen.                   ",Rarely the allergic reaction being induced with skin testing can be severe and life threatening.          
275,"Antinuclear antibody (ANA, blood test for autoimmune disease)","An antinuclear antibody test is done help diagnose autoimmune diseases such as systemic lupus erythematosus (SLE). However, a positive test does not always mean the person has an autoimmune disease. Many health people, especially women, have a positive ANA.",None.
276,Analysis of joint fluid (synovial fluid),"A needle is inserted into a joint and fluid is removed. The fluid from the joint (synovial fluid) is analyzed for blood cells, bacteria, proteins and crystals. The test is used to diagnose joint infections, gout, certain types of arthritis, and traumatic injuries. ","Pain and swelling at the test site. Infection can be introduced into the skin or the joint. Injury to a tendon, nerve or blood vessel can rarely occur."
277,Androgen (male sex hormone),A male sex hormone that is measured to typically detect a deficiency. ,None
278,"Anoscopy (tube to view the anus, rectum)","Anoscopy is performed by inserting a tube into the rectum to look at the lining of the rectum. The test is done to determine the cause of rectal bleeding or pain, most often related to hemorrhoids or inflammation.",Rarely the rectum can be injured.
279,Antibody (immune system blood test),"An antibody is a type of protein the body makes to attack foreign substances that enter the body, such as a bacteria or viruses. Antibodies are also made against chemicals, pollen and other allergic substances. Sometimes the immune system makes antibodies against normal tissues (autoantibodies). The presence and level of antibodies in blood can also be used to help diagnose specific diseases.",None
280,Aortography (x-ray of aorta),The aorta is the large artery that arises from the heart and supplies blood to the entire body. Aortography is an examination of the aorta using x-rays after the injection of contrast dye.,"Injury to the artery during injection of the contrast dye. The contrast can injure the kidneys, especially if the person has underlying kidney disease. Some patients can have an allergic reaction to the dye. The allergic reaction can be mild to severe."
281,Arthrocentesis (joint fluid removal),"A procedure to remove joint fluid by inserting a needle into a joint. The fluid is then tested to help diagnose infections, arthritis, gout or traumatic injuries. The procedure is sometimes done to remove the buildup of fluid in the joint, giving pain relief to the patient. Sometimes the doctor will insert medication at the same time. ","Pain and swelling at the needle insertion test site. Rarely infection of the skin or the joint. Injury to a tendon, nerve or blood vessel can rarely occur. "
282,Aspirin (salicylate) level,A blood test to measure the amount of aspirin in the blood. Too high an aspirin level either accidentally or intentionally can be life threatening.,None
283,B12 test (blood test for vitamin),B12 is a vitamin and the level can be measured in the blood. Low levels can cause anemia and malfunctioning of the nerves.,None
